        
  Feb 22, 2023                                   For Dept Code "*" -
                                From the beginning of Mar 2022 to the end of Mar 2022
                                      For customers "CASH" to "CASH" (inclusive)
                                                  Store Number: 001
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 Cust #  Name                        Phone
         Date         Invoice  Item Number       Description                              Qty                   Net
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 Cash Cu                                                                                       T o t a l 132,369.00
         0                     GLUES ADHESIVES   527.14
         03/25/2022   61777B   K45558            COLORMAXX BRIGHT WHITE SATIN 34        1.000  EACH           11.99
         03/03/2022   52966B   KR643             WOOSTER 15MM SLEEVE                    1.000- EACH            8.99-
         03/01/2022   52241B   KZ2140PS          DYNAMIC FLEXIBLE PAINT CAN SPOU        1.000  EACH            1.79
         03/25/2022   61560B   M4813000A         STAIN MARKER RED MAHOGANY              1.000  EACH           12.59
         03/01/2022   52180B   MOD-077368        TOP WORKS 3PC PAINT TRAY KIT           1.000  EACH           12.99
         03/21/2022   59866B   PE700154-1        PRIMER SEALER WHITE 3.73L              1.000  EACH           22.49
         03/25/2022   61519B   PU-MED            PAINTING GLOVES MED                    1.000  EACH            2.69
         03/08/2022   55000B   PU-XL             PAINTING GLOVES XL                     1.000  EACH            2.69
         03/09/2022   55320A   SSP20969          INVERTED MARKING PAINT BLUE            1.000  EACH           11.99
         03/11/2022   56517B   WARNING           READ LABEL:______                      1.000  FOOT            0.00
         03/12/2022   56885B   WARNING           READ LABEL:______                      1.000  FOOT            0.00
         03/14/2022   57316B   WARNING           READ LABEL:______                      1.000  FOOT            0.00
         03/18/2022   58824A   WARNING           READ LABEL:______                      1.000  FOOT            0.00
         03/19/2022   59173B   WARNING           READ LABEL:______                      1.000  FOOT            0.00
         03/22/2022   60428B   WARNING           READ LABEL:______                      1.000  FOOT            0.00
         03/24/2022   61179B   WARNING           READ LABEL:______                      1.000  FOOT            0.00
         03/26/2022   62076A   WARNING           READ LABEL:______                      1.000  FOOT            0.00
         03/24/2022   61179B   Y63241            CLEAR LACQUER SATIN 946mL              1.000  EACH           21.99
         03/19/2022   59284B   Z6434             4" ECONO PAINT BRUSH                   1.000  EACH            6.74
 2       Cement Products                                                                       T o t a l   3,813.86
         03/14/2022   57243B   0750132           MORTAR REPAIR 296ML TUBE               1.000  EACH            9.99
         03/30/2022   63688B   12CORNER          REBAR 1/2" (10MM) CORNER               2.000  EACH            7.18
         03/05/2022   53807B   2CHAIR            2" Linden Chair                       11.000  EACH            5.84
         03/03/2022   53043B   58CORNER          REBAR 5/8" (15MM) CORNER               6.000  EACH           34.50
         03/14/2022   57068B   58CORNER          REBAR 5/8" (15MM) CORNER               1.000  EACH            5.75
         03/14/2022   57068B   58REBARL          5/8"REBAR L 8"X36"                     6.000  EACH           28.80
         03/30/2022   63688B   58REBARL          5/8"REBAR L 8"X36"                     8.000  EACH           38.40
         03/02/2022   52760B   750124            CONCRETE BONDING AGENT 3.8L            1.000  EACH           37.99
         03/02/2022   52425B   CONC              CEM CONCRETE MIX 55LB                  2.000  BAG            13.78
         03/03/2022   52880A   CONC              CEM CONCRETE MIX 55LB                  3.000  BAG            20.67
         03/04/2022   53320B   CONC              CEM CONCRETE MIX 55LB                  7.000  BAG            48.23
         03/08/2022   54651B   CONC              CEM CONCRETE MIX 55LB                  4.000  BAG            27.56
         03/08/2022   54866B   CONC              CEM CONCRETE MIX 55LB                  1.000  BAG             6.89
         03/08/2022   55005B   CONC              CEM CONCRETE MIX 55LB                  8.000  BAG            55.12
         03/08/2022   55029B   CONC              CEM CONCRETE MIX 55LB                 10.000  BAG            68.90
         03/11/2022   56606B   CONC              CEM CONCRETE MIX 55LB                  1.000  BAG             6.89
         03/16/2022   57845B   CONC              CEM CONCRETE MIX 55LB                  3.000  BAG            20.67
         03/16/2022   57969A   CONC              CEM CONCRETE MIX 55LB                  5.000  BAG            34.45
         03/16/2022   57999B   CONC              CEM CONCRETE MIX 55LB                  3.000  BAG            20.67
         03/17/2022   58502B   CONC              CEM CONCRETE MIX 55LB                 10.000  BAG            68.90
         03/17/2022   58505B   CONC              CEM CONCRETE MIX 55LB                  4.000  BAG            27.56
         03/17/2022   58575B   CONC              CEM CONCRETE MIX 55LB                  6.000  BAG            41.34
         03/18/2022   58819A   CONC              CEM CONCRETE MIX 55LB                  6.000  BAG            41.34
         03/18/2022   58829A   CONC              CEM CONCRETE MIX 55LB                  2.000  BAG            13.78
         03/18/2022   58874B   CONC              CEM CONCRETE MIX 55LB                  2.000  BAG            13.78
         03/19/2022   59278B   CONC              CEM CONCRETE MIX 55LB                  3.000  BAG            20.67
         03/22/2022   60010A   CONC              CEM CONCRETE MIX 55LB                  8.000  BAG            55.12
         03/22/2022   60193A   CONC              CEM CONCRETE MIX 55LB                  3.000  BAG            20.67
         03/23/2022   60551A   CONC              CEM CONCRETE MIX 55LB                  1.000  BAG             6.89
         03/24/2022   60933A   CONC              CEM CONCRETE MIX 55LB                  2.000  BAG            13.78
         03/24/2022   61146A   CONC              CEM CONCRETE MIX 55LB                  4.000  BAG            27.56
         03/24/2022   61161B   CONC              CEM CONCRETE MIX 55LB                  4.000  BAG            27.56
         03/25/2022   61393B   CONC              CEM CONCRETE MIX 55LB                  8.000  BAG            55.12
         03/25/2022   61766B   CONC              CEM CONCRETE MIX 55LB                  6.000  BAG            41.34
         03/26/2022   61828B   CONC              CEM CONCRETE MIX 55LB                  8.000  BAG            55.12
         03/28/2022   62435B   CONC              CEM CONCRETE MIX 55LB                  1.000  BAG             6.89
         03/30/2022   63538B   CONC              CEM CONCRETE MIX 55LB                  1.000  BAG             6.89
         03/30/2022   63558B   CONC              CEM CONCRETE MIX 55LB                  6.000  BAG            41.34
         03/31/2022   63951B   CONC              CEM CONCRETE MIX 55LB                  1.000  BAG             6.89
         03/31/2022   64079B   CONC              CEM CONCRETE MIX 55LB                  3.000  BAG            20.67
         03/01/2022   51963B   CONCFAST          FAST SET CONCRETE MIX                  3.000  BAG            26.28
         03/01/2022   52180B   CONCFAST          FAST SET CONCRETE MIX                 10.000  BAG            87.60
         03/03/2022   53098A   CONCFAST          FAST SET CONCRETE MIX                  8.000  BAG            70.08
         03/05/2022   53789B   CONCFAST          FAST SET CONCRETE MIX                  1.000  BAG             8.76
         03/08/2022   55012B   CONCFAST          FAST SET CONCRETE MIX                  4.000  BAG            35.04
         03/11/2022   56623B   CONCFAST          FAST SET CONCRETE MIX                  5.000  BAG            43.80
         03/12/2022   56756B   CONCFAST          FAST SET CONCRETE MIX                  2.000  BAG            17.52
         03/21/2022   59597B   CONCFAST          FAST SET CONCRETE MIX                  2.000  BAG            17.52
         03/23/2022   60676B   CONCFAST          FAST SET CONCRETE MIX                  4.000  BAG            35.04
         03/23/2022   60735B   CONCFAST          FAST SET CONCRETE MIX                  2.000  BAG            17.52
         03/24/2022   61008B   CONCFAST          FAST SET CONCRETE MIX                  4.000  BAG            35.04
         03/25/2022   61362B   CONCFAST          FAST SET CONCRETE MIX                  1.000  BAG             8.76
         03/28/2022   62143A   CONCFAST          FAST SET CONCRETE MIX                 12.000  BAG           105.12
         03/29/2022   62783B   CONCFAST          FAST SET CONCRETE MIX                  1.000  BAG             8.76
         03/29/2022   62945B   CONCFAST          FAST SET CONCRETE MIX                  8.000  BAG            70.08
         03/30/2022   63256B   CONCFAST          FAST SET CONCRETE MIX                  2.000  BAG            17.52
         03/01/2022   52176A   DENS35            32"x5' DENSHIELD TILE BACKER           1.000- EACH           24.95-
         03/30/2022   63529B   DRYPACK           THICKBED MORTAR BLUE BAG 50LBS         1.000  EACH           11.99
         03/30/2022   63555A   DRYPACK           THICKBED MORTAR BLUE BAG 50LBS         1.000  EACH           11.99
         03/14/2022   57233B   GROUT             CEM NON SHRINK GROUT 25KG              1.000  BAG            13.49
         03/22/2022   60217B   GROUT             CEM NON SHRINK GROUT 25KG              1.000  BAG            13.49
         03/02/2022   52459A   MORTAR            CEM MORTAR MIX 25 KG                   1.000  BAG             8.59
         03/04/2022   53304B   MORTAR            CEM MORTAR MIX 25 KG                   2.000  BAG            17.18
         03/05/2022   53755B   MORTAR            CEM MORTAR MIX 25 KG                   3.000  BAG            25.77
         03/05/2022   54016B   MORTAR            CEM MORTAR MIX 25 KG                   1.000  BAG             8.59
         03/10/2022   55960B   MORTAR            CEM MORTAR MIX 25 KG                   2.000  BAG            17.18
         03/24/2022   61146A   MORTAR            CEM MORTAR MIX 25 KG                   1.000  BAG             8.59
